Count,Date,Close,DecisionTree,LinearSVR,RandomForest,Lasso,Ridge,Bay,GradientBoost,SGD,ES,ES_V
79,21-Nov-19,11968.4,11968.4,11956.60803,11934.89505,11991.53027,11993.84523,11995.68556,11958.25859,11991.53027,11953.85121,11981.13672
80,22-Nov-19,11914.4,11914.4,11937.71634,11931.57595,11961.13081,11964.59283,11965.81154,11926.82478,11961.13081,11924.26691,11954.73448
81,25-Nov-19,12073.75,12073.75,11893.40566,11949.23551,11907.48484,11911.76881,11912.48685,11973.91728,11907.48484,11998.96759,11904.29984
82,26-Nov-19,12037.7,12037.7,12028.85695,11964.57723,12065.95756,12068.23281,12070.16932,12032.08939,12065.95756,12011.45554,12054.84353
83,27-Nov-19,12100.7,12100.7,11998.32122,11964.57723,12030.12142,12032.94907,12034.60743,11984.0454,12030.12142,12016.44087,12020.86555
84,28-Nov-19,12151.15,12151.15,12054.85216,11964.57723,12092.78104,12095.23964,12097.22665,12075.6483,12092.78104,12063.79184,12081.47244
85,29-Nov-19,12056.05,12056.05,12098.93266,11964.57723,12142.96313,12144.8041,12147.1083,12032.08939,12142.96313,12017.5722,12129.51839
86,02-Dec-19,12048.2,12048.2,12006.90413,11943.82469,12048.25548,12049.98984,12052.15928,12042.63134,12048.25548,12011.55201,12035.63049
87,12-Dec-19,11971.8,11971.8,11995.41552,11943.82469,12040.37413,12041.74348,12044.11292,11939.14676,12040.37413,11951.59048,12026.50024
88,13-Dec-19,12086.7,12086.7,11951.63461,11950.41749,11964.59393,11969.75599,11970.43918,11990.33418,11964.59393,12009.15056,11962.07487
89,16-Dec-19,12053.95,12053.95,12055.37425,11750.41387,12078.95656,12083.19098,12084.42199,12069.58787,12078.95656,11957.98391,12072.7626
