Date,Price,Open,High,Low,Volume,Chg%
"Jun 18, 2018",10.5663,10.5849,10.5864,10.5523,0,-0.03%
"Jun 19, 2018",10.5332,10.5711,10.5726,10.5332,0,-0.31%
"Jun 20, 2018",10.5132,10.5627,10.564,10.5112,0,-0.19%
"Jun 21, 2018",10.464,10.5089,10.515,10.4596,0,-0.47%
"Jun 22, 2018",10.4322,10.4718,10.4718,10.4255,0,-0.30%
"Jun 25, 2018",10.4152,10.4466,10.4468,10.3907,0,-0.16%
"Jun 26, 2018",10.3918,10.4267,10.4307,10.3627,0,-0.22%
"Jun 27, 2018",10.3927,10.3941,10.4229,10.3425,0,0.01%
"Jun 28, 2018",10.3878,10.3791,10.4503,10.361,0,-0.05%
"Jun 29, 2018",10.3398,10.3937,10.3937,10.3215,0,-0.46%
"Jul 02, 2018",10.3059,10.3331,10.3407,10.3059,0,-0.33%
"Jul 03, 2018",10.3199,10.257,10.3322,10.2332,0,0.14%
"Jul 04, 2018",10.3566,10.3165,10.3842,10.3165,0,0.36%
"Jul 05, 2018",10.3781,10.3532,10.3964,10.3426,0,0.21%
"Jul 06, 2018",10.3567,10.3789,10.3881,10.3422,0,-0.21%
"Jul 09, 2018",10.3777,10.3696,10.4046,10.3529,0,0.20%
"Jul 10, 2018",10.3705,10.3729,10.4239,10.3568,0,-0.07%
"Jul 11, 2018",10.2871,10.3169,10.3521,10.284,0,-0.80%
"Jul 12, 2018",10.2764,10.2613,10.3052,10.2485,0,-0.10%
"Jul 13, 2018",10.2366,10.2715,10.2996,10.2132,0,-0.39%
"Jul 16, 2018",10.2449,10.2407,10.2979,10.2205,0,0.08%
"Jul 17, 2018",10.2035,10.2554,10.2781,10.2021,0,-0.40%
"Jul 18, 2018",10.2126,10.2129,10.2293,10.1983,0,0.09%
"Jul 19, 2018",10.1874,10.2126,10.2239,10.1775,0,-0.25%
"Jul 20, 2018",10.1524,10.1954,10.1954,10.1369,0,-0.34%
"Jul 23, 2018",10.1348,10.1705,10.1921,10.1172,0,-0.17%
"Jul 24, 2018",10.1521,10.0921,10.1521,10.08,0,0.17%
"Jul 25, 2018",10.1526,10.1576,10.1837,10.1248,0,0.00%
