Count,Date,Close,CUP,DecisionTree,DUP,LinearSVR,LUP,RandomForest,RUP,Lasso,laUP,Ridge,riUP,Bay,BUP,GradientBoost,GUP,SGD,SUP,ES,EUP,ES_V,EvUP,LSTM,LUP,GRU,GrUP
21,19-Aug-19,11053.9,1,11053.9,1,11087.3791,1,11012.4835,1,11044.9776,1,11052.9596,1,11050.7577,1,11046.8377,0,11044.9776,1,11037.7404,1,11060.9288,1,11487.85636,0,11321.56496,0
22,20-Aug-19,11017,0,11017,0,11092.3626,1,11013.4537,1,11051.1255,1,11058.8157,1,11056.659,1,11034.0191,0,11051.1255,1,11021.4909,0,11066.5975,1,11499.6948,1,11346.61059,1
23,21-Aug-19,10918.7,0,10918.7,0,11067.2456,0,10958.3368,0,11014.4951,0,11023.3109,0,11020.5386,0,10956.7772,0,11014.4951,0,10944.6047,0,11033.9645,0,11473.66896,0,11425.53709,1
24,22-Aug-19,10741.35,0,10741.35,0,10982.772,0,10901.6266,0,10916.7424,0,10926.7561,0,10923.2828,0,10883.481,0,10916.7424,0,10842.1525,0,10940.8009,0,11541.76812,1,11432.47426,1
25,23-Aug-19,10829.35,1,10829.35,1,10817.5857,0,10784.7405,0,10740.2592,0,10750.718,0,10746.6455,0,10846.5703,0,10740.2592,0,10820.2203,0,10768.0326,0,11572.58913,1,11437.17831,1
26,26-Aug-19,11057.85,1,11057.85,1,10894.3571,1,10851.3522,1,10827.652,1,10837.4853,1,10833.9988,1,10957.6748,1,10827.652,1,10955.6257,1,10851.8882,1,11573.54302,1,11423.61324,0
27,27-Aug-19,11105.35,1,11105.35,1,11111.9647,1,11013.4537,1,11054.9927,1,11064.376,1,11061.3934,1,11064.1983,1,11054.9927,1,11061.0007,1,11075.9882,1,11555.74644,0,11466.65242,1
28,28-Aug-19,11046.1,0,11046.1,0,11151.8402,1,11027.6025,1,11102.1931,1,11111.1377,1,11108.5558,1,11059.7933,0,11102.1931,1,11044.4986,0,11120.7452,1,11583.69587,1,11445.32234,0
29,29-Aug-19,10948.3,0,10948.3,0,11116.1456,0,11008.26,0,11043.4498,0,11054.6413,0,11050.8201,0,11007.696,0,11043.4498,0,10988.0853,0,11069.9952,0,11583.991,1,11490.98474,1
30,30-Aug-19,11023.25,1,11023.25,1,11031.6644,0,10952.9848,0,10946.1794,0,10958.5349,0,10954.0409,0,10974.4339,0,10946.1794,0,10983.5562,0,10977.1503,0,11643.99871,1,11359.0996,0
31,03-Sep-19,10797.9,0,10797.9,0,11089.4603,1,10968.2384,1,11020.6798,1,11031.4944,1,11027.8894,1,10901.3916,0,11020.6798,1,10889.1767,0,11045.8768,1,11626.09193,0,11391.7109,1
32,04-Sep-19,10844.65,1,10844.65,1,10881.4372,0,10805.2872,0,10796.3484,0,10807.9786,0,10803.519,0,10868.8566,0,10796.3484,0,10839.5979,0,10826.9728,0,11568.09288,0,11429.12898,1
33,05-Sep-19,10847.9,1,10847.9,1,10939.2296,1,10859.4744,1,10842.986,1,10856.1258,1,10851.0704,1,10885.2721,1,10842.986,1,10864.2155,1,10877.6191,1,11580.76108,1,11461.07453,1
34,06-Sep-19,10946.2,1,10946.2,1,10944.842,1,10857.3409,0,10846.3521,1,10859.7082,1,10854.5193,1,10924.6529,1,10846.3521,1,10909.3979,1,10881.7518,1,11596.39515,1,11479.30467,1
35,09-Sep-19,11003.05,1,11003.05,1,11016.4719,1,10949.9063,1,10944.0338,1,10954.883,1,10951.08,1,10979.1952,1,10944.0338,1,10977.3838,1,10970.3947,1,11608.38533,1,11429.42893,0
36,11-Sep-19,11035.7,1,11035.7,1,11075.1566,1,10955.006,1,11000.7484,1,11011.9026,1,11007.9752,1,10950.2858,0,11000.7484,1,10980.3306,1,11027.8099,1,11592.42302,0,11433.69097,1
37,12-Sep-19,10982.8,0,10982.8,0,11097.9212,1,11008.26,1,11033.2142,1,11043.4414,1,11040.0283,1,11022.9287,1,11033.2142,1,11004.6629,1,11056.911,1,11597.86809,1,11453.35012,1
38,13-Sep-19,11075.9,1,11075.9,1,11032.4193,0,10957.0404,0,10980.3231,0,10989.2656,0,10986.5566,0,10986.352,0,10980.3231,0,11006.4308,1,10999.6573,0,11575.21655,0,11530.65066,1
39,16-Sep-19,11003.5,0,11003.5,0,11109.9486,1,11023.9758,1,11072.9338,1,11080.4598,1,11078.5435,1,11040.4812,1,11072.9338,1,11022.6523,1,11087.0359,1,11515.991,0,11568.9399,1
40,17-Sep-19,10817.6,0,10817.6,0,11093.3138,0,10955.006,0,11001.5142,0,11014.6096,0,11009.7345,0,10906.2551,0,11001.5142,0,10892.9537,0,11034.6762,0,11522.04473,1,11551.11487,0
41,18-Sep-19,10840.65,1,10840.65,1,10929.0683,0,10834.8562,0,10816.6051,0,10831.4161,0,10825.4517,0,10835.428,0,10816.6051,0,10836.9781,0,10856.862,0,11521.34328,0,11559.69179,1
42,19-Sep-19,10704.8,0,10704.8,0,10928.7296,0,10848.4122,1,10839.272,1,10851.7603,1,10847.0412,1,10807.3862,0,10839.272,1,10786.8661,0,10871.5336,1,11584.61593,1,11541.19567,0
43,24-Sep-19,11588.2,1,11588.2,1,10802.5245,0,10829.6049,0,10704.1459,0,10717.0276,0,10711.8305,0,11228.6414,1,10704.1459,0,11215.4821,1,10739.351,0,11552.46596,0,11601.52903,1
44,25-Sep-19,11440.2,0,11440.2,0,11600.5638,1,11589.2851,1,11582.8776,1,11590.0138,1,11589.087,1,11556.1229,1,11582.8776,1,11528.536,1,11590.701,1,11543.23971,0,11592.52425,0
45,26-Sep-19,11571.2,1,11571.2,1,11455.0279,0,11479.8361,0,11435.4899,0,11442.335,0,11441.3263,0,11489.9719,0,11435.4899,0,11513.6694,0,11443.8229,0,11585.23034,1,11580.45507,0
46,27-Sep-19,11512.4,0,11512.4,0,11566.7803,1,11577.9457,1,11565.7921,1,11570.9893,1,11570.9585,1,11590.277,1,11565.7921,1,11560.2076,1,11567.7227,1,11593.52544,1,11552.45694,0
47,30-Sep-19,11474.45,0,11474.45,0,11512.9476,0,11490.3492,0,11507.2376,0,11512.9864,0,11512.7227,0,11474.5943,0,11507.2376,0,11479.7978,0,11510.8587,0,11587.72944,0,11532.70164,0
48,01-Oct-19,11359.9,0,11359.9,0,11468.7098,0,11490.3492,0,11469.4325,0,11474.2364,0,11474.3124,0,11459.2508,0,11469.4325,0,11436.5,0,11470.7144,0,11570.20312,0,11541.50314,1
49,03-Oct-19,11314,0,11314,0,11354.5602,0,11402.1648,0,11355.3971,0,11359.5741,0,11359.6539,0,11337.7423,0,11355.3971,0,11351.3024,0,11356.4384,0,11586.60733,1,11490.65371,0
50,04-Oct-19,11174.75,0,11174.75,0,11314.3897,0,11288.5887,0,11309.5154,0,11314.3668,0,11314.1761,0,11291.341,0,11309.5154,0,11251.5599,0,11312.6108,0,11605.10034,1,11460.96397,0
