Date,Close,DT,RF,SVR,LASSO,RIDGE,BayR,GB,SGD,LSTM,GRU
13-Nov-20,12719.95,13066.5,12453.03,13009.94144,12903.4605,12913.15462,12914.17497,12388.128,13002.28346,12688.90174,12683.55
17-Nov-20,12874.2,13157.8,12670.23,13077.80409,12943.32804,12963.00083,12952.7603,12605.328,13065.54099,12785.99294,12899.6
18-Nov-20,12938.25,13295.3,12660.83,13038.14709,12877.93098,12914.75576,12883.56128,12595.928,13023.37457,12959.06471,12961.45
19-Nov-20,12771.7,12656.3,12966.73,13355.91645,13239.83212,13243.49748,13252.65923,12901.828,13337.30977,12839.87979,12750.5
20-Nov-20,12859.05,13042.25,12591.70549,12733.70672,12587.56167,12602.28572,12598.09299,12568.12411,12705.00493,12841.66466,12835.72
24-Nov-20,13055.15,13321,12875.9975,13057.02089,12935.80944,12937.81081,12948.53829,12833.0292,13026.12697,13106.36713,13025.91
25-Nov-20,12858.4,13173.05,12623.38,12933.43002,12803.24281,12807.76636,12816.46726,12558.478,12906.44761,12920.77431,12785.4
26-Nov-20,12987,13262.05,12791.58,13163.96852,13026.14761,13036.08777,13038.77892,12726.678,13143.35709,12956.13479,12969.77
27-Nov-20,12968.95,13177.15,12840.38,13186.15151,13040.98287,13060.546,13051.08452,12775.478,13168.73883,12911.07636,12958.95
02-Dec-20,13113.75,13491.65,12788.795,13121.29405,12950.93174,12976.88617,12960.7481,12750.578,13097.0506,13270.7019,13085.75
03-Dec-20,13133.9,13485.25,12862.18,13298.99435,13160.72894,13172.72116,13172.83168,12797.278,13279.43686,13107.44685,13158.9
04-Dec-20,13258.55,13548.7,13048.03,13481.39356,13324.03799,13343.5116,13335.294,12983.128,13460.4324,13314.07241,13281.55
07-Dec-20,13355.75,13524.95,13266.18,13686.48775,13492.29235,13536.55866,13498.25648,13201.278,13664.45143,13272.55278,13377.75
08-Dec-20,13392.95,13695.55,13183.35,13432.64749,13260.31716,13277.35383,13272.9414,13105.078,13400.84145,13338.48576,13412.95
09-Dec-20,13529.1,13786.65,13351.18,13725.58122,13570.95607,13578.8092,13585.48106,13286.278,13696.91704,13423.38316,13554.1
10-Dec-20,13478.3,13452.9,13583.33,13945.98657,13769.71354,13796.55165,13780.01668,13518.428,13923.16556,13500.1627,13481.3
